state,abbrev,year
Alabama,AL,2021
Alaska,AK,1998
American Samoa,,
Arizona,AZ,2010
Arkansas,AR,2016
California,CA,1996
Colorado,CO,2000
Commonwealth of the Northern Mariana Islands,,
Connecticut,CT,2012
Delaware,DE,2011
District of Columbia,DC,2010
Florida,FL,2016
Georgia,GA,
Guam,,2019
Hawaii,HI,2000
Idaho,ID,
Illinois,IL,2013
Indiana,IN,
Iowa,IA,
Kansas,KS,
Kentucky,KY,
Louisiana,LA,2017
Maine,ME,1999
Maryland,MD,2003
Massachusetts,MA,2012
Michigan,MI,2008
Minnesota,MN,2014
Mississippi,MS,2022
Missouri,MO,2018
Montana,MT,2004
Nebraska,NE,
Nevada,NV,2000
New Hampshire,NH,2013
New Jersey,NJ,2009
New Mexico,NM,2007
New York,NY,2014
North Carolina,NC,
North Dakota,ND,2016
Ohio,OH,2016
Oklahoma,OK,2018
Oregon,OR,1998
Pennsylvania,PA,2016
Puerto Rico,,2016
Rhode Island,RI,2007
South Carolina,SC,
South Dakota,SD,2020
Tennessee,TN,
Texas,TX,
United States Virgin Islands,,2017
Utah,UT,2018
Vermont,VT,2004
Virginia,VA,2020
Washington,WA,1998
West Virginia,WV,2017
Wisconsin,WI,
Wyoming,WY,
